id,sku,slug,name,name_ascii,price_vnd,price_usd,currency,category_id,category_label,active_ingredient,badge,image_url,image_local,detail_url,source,scraped_at
1,VKD-001,sam-ngoc-linh-thai-lat-ngam-mat-ong,Sâm Ngọc Linh thái lát ngâm mật ong,Sam Ngoc Linh thai lat ngam mat ong,2500000,98.04,VND,ginseng,Sâm Củ Tươi & Sâm Khô,Majonoside R2 (MR2) — độc quyền Ngọc Linh,Quốc Bảo,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/SNL-Thai-Lat.png,images/01-sam-ngoc-linh-thai-lat-ngam-mat-ong.png,https://samngoclinhvkdgroup.com/san-pham/sam-ngoc-linh-thai-lat-ngam-mat-ong/,samngoclinhvkdgroup.com,2026-07-17
2,VKD-002,cao-sam-ngoc-linh-mat-ong,Cao Sâm Ngọc Linh Mật Ong,Cao Sam Ngoc Linh Mat Ong,2200000,86.27,VND,supplements,Thực Phẩm Bảo Vệ Sức Khỏe,Cao đặc 70% + Saponin MR2,Hàm lượng cao,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-9.png,images/02-cao-sam-ngoc-linh-mat-ong.png,https://samngoclinhvkdgroup.com/san-pham/cao-sam-ngoc-linh-mat-ong/,samngoclinhvkdgroup.com,2026-07-17
3,VKD-003,nuoc-cot-sam-ngoc-linh,Nước Cốt Sâm Ngọc Linh,Nuoc Cot Sam Ngoc Linh,445000,17.45,VND,supplements,Thực Phẩm Bảo Vệ Sức Khỏe,Chiết xuất sâm 8–10 năm tuổi,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-8.png,images/03-nuoc-cot-sam-ngoc-linh.png,https://samngoclinhvkdgroup.com/san-pham/nuoc-cot-sam-ngoc-linh/,samngoclinhvkdgroup.com,2026-07-17
4,VKD-004,giai-doc-gan-panaxx-naturis,Giải Độc Gan Panaxx Naturis,Giai Đoc Gan Panaxx Naturis,440000,17.25,VND,supplements,Thực Phẩm Bảo Vệ Sức Khỏe,MR2 + Cà gai leo + Khúng khéng,Bảo vệ gan,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-7.png,images/04-giai-doc-gan-panaxx-naturis.png,https://samngoclinhvkdgroup.com/san-pham/giai-doc-gan-panaxx-naturis/,samngoclinhvkdgroup.com,2026-07-17
5,VKD-005,nuoc-sam-ngoc-linh-panaxx,NƯỚC SÂM NGỌC LINH PANAXX,NUOC SAM NGOC LINH PANAXX,,,VND,supplements,Thực Phẩm Bảo Vệ Sức Khỏe,"Chiết xuất sâm Ngọc Linh 0,05%",,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/sp1.png,images/05-nuoc-sam-ngoc-linh-panaxx.png,https://samngoclinhvkdgroup.com/san-pham/nuoc-sam-ngoc-linh-panaxx/,samngoclinhvkdgroup.com,2026-07-17
6,VKD-006,nuoc-sam-ngoc-linh-panaxx-vi-chanh-leo,NƯỚC SÂM NGỌC LINH PANAXX – VỊ CHANH LEO,NUOC SAM NGOC LINH PANAXX – VI CHANH LEO,,,VND,supplements,Thực Phẩm Bảo Vệ Sức Khỏe,Chiết xuất sâm Ngọc Linh + Caffeine,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/sp2.png,images/06-nuoc-sam-ngoc-linh-panaxx-vi-chanh-leo.png,https://samngoclinhvkdgroup.com/san-pham/nuoc-sam-ngoc-linh-panaxx-vi-chanh-leo/,samngoclinhvkdgroup.com,2026-07-17
7,VKD-007,nuoc-sam-ngoc-linh-panaxx-vi-oi-hong,NƯỚC SÂM NGỌC LINH PANAXX – VỊ ỔI HỒNG,NUOC SAM NGOC LINH PANAXX – VI OI HONG,,,VND,supplements,Thực Phẩm Bảo Vệ Sức Khỏe,Chiết xuất sâm Ngọc Linh + Caffeine,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/sp3.png,images/07-nuoc-sam-ngoc-linh-panaxx-vi-oi-hong.png,https://samngoclinhvkdgroup.com/san-pham/nuoc-sam-ngoc-linh-panaxx-vi-oi-hong/,samngoclinhvkdgroup.com,2026-07-17
8,VKD-008,keo-sam-ngoc-linh-panaxx-candy,Kẹo Sâm Ngọc Linh (PanaxX Candy),Keo Sam Ngoc Linh (PanaxX Candy),72000,2.82,VND,supplements,Thực Phẩm Bảo Vệ Sức Khỏe,Saponin sâm Ngọc Linh,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/keo.png,images/08-keo-sam-ngoc-linh-panaxx-candy.png,https://samngoclinhvkdgroup.com/san-pham/keo-sam-ngoc-linh-panaxx-candy/,samngoclinhvkdgroup.com,2026-07-17
9,VKD-009,banh-sam-ngoc-linh-panaxx-cookie,Bánh Sâm Ngọc Linh (PanaxX Cookie),Banh Sam Ngoc Linh (PanaxX Cookie),58000,2.27,VND,supplements,Thực Phẩm Bảo Vệ Sức Khỏe,Chiết xuất sâm Ngọc Linh,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/banh.png,images/09-banh-sam-ngoc-linh-panaxx-cookie.png,https://samngoclinhvkdgroup.com/san-pham/banh-sam-ngoc-linh-panaxx-cookie/,samngoclinhvkdgroup.com,2026-07-17
10,VKD-010,panaxx-super-drink-190ml-ban-moi,Panaxx Super Drink 190ml (Bản Mới),Panaxx Super Drink 190ml (Ban Moi),15000,0.59,VND,supplements,Thực Phẩm Bảo Vệ Sức Khỏe,MR2 + Vitamin B3/B6,,https://samngoclinhvkdgroup.com/wp-content/uploads/2026/06/my-pham-6.png,images/10-panaxx-super-drink-190ml-ban-moi.png,https://samngoclinhvkdgroup.com/san-pham/panaxx-super-drink-190ml-ban-moi/,samngoclinhvkdgroup.com,2026-07-17
