Summary,Issue Type,Priority,Status,Epic,Description,Labels
"Deploy Chatbot AI widget to production","Story","High","Done","Chatbot AI","Rule-based chat widget built in src/components/ChatWidget.tsx, wired into App.tsx, tested locally (typecheck + lint clean, browser-verified). Ready to ship on next deploy.","chatbot,mvp"
"Add native review pass for zh/fr/ar chatbot copy","Task","Medium","To Do","Chatbot AI","Widget currently ships vi/en copy only; site supports 5 languages (vi/en/zh/fr/ar). Get native speaker review before adding zh/fr/ar strings.","chatbot,i18n"
"Add chat lead capture to Supabase","Story","Medium","To Do","Chatbot AI","Persist product-advice/order-status conversations into a new chat_leads table so Sales/CSKH can follow up. Needs migration + RLS policy design.","chatbot,backend"
"Upgrade chatbot to real AI responses (Claude API)","Story","Low","To Do","Chatbot AI","Replace/extend rule-based tree with an LLM-backed flow for open-ended questions once an Anthropic API key is provisioned and budget approved.","chatbot,ai"
"Write formal Chatbot AI brief","Task","Medium","To Do","Chatbot AI","Feature sits outside the original 6-block site design scope; write a standalone brief (goals, KPIs, integration points) for stakeholder sign-off.","chatbot,brief"
"VKD Marketing Content Digest routine live","Story","High","Done","Marketing Automation","Daily cloud routine (8am ICT) drafts FB + TikTok captions from real product data. URL: claude.ai/code/routines/trig_01KXBhhpSpYGRaafomz5BdnK","marketing,automation"
"Connect Supabase connector for routine (live CMS data)","Task","Medium","To Do","Marketing Automation","Attach Supabase MCP connector via claude.ai/customize/connectors so the routine can read cms_articles table instead of static repo data.","marketing,automation,connector"
"Connect email connector to deliver daily digest","Task","Medium","To Do","Marketing Automation","Attach Resend/email MCP connector so the daily caption draft is emailed to the marketing team instead of only visible in routine run history.","marketing,automation,connector"
"Set up Facebook Page publishing API","Story","High","To Do","Marketing Automation","No off-the-shelf MCP connector exists for FB Page posting. Requires Meta Business API app registration + page access token.","marketing,social,api-setup"
"Set up TikTok Content Posting API","Story","High","To Do","Marketing Automation","No off-the-shelf MCP connector exists for TikTok posting. Requires TikTok developer app + business account verification.","marketing,social,api-setup"
"Evaluate WhatsApp Business API for CSKH handoff","Task","Low","To Do","Marketing Automation","User requested WhatsApp connection; no MCP connector currently available. Needs WhatsApp Business Platform setup via Meta.","marketing,social,api-setup"
"Publish existing CMS content/videos per content calendar","Task","Medium","To Do","Marketing Automation","Manually publish already-created CMS articles/videos to fanpage, social channels, and TikTok until auto-publish connectors are live.","marketing,manual"
"Review and confirm deploy checklist for Chatbot AI release","Task","High","To Do","Release Management","Run through engineering:deploy-checklist before pushing ChatWidget to production (staging verify, smoke test, rollback plan).","release,chatbot"
